نام خیابان,منطقه شهرداری
,۱۰۱
,۱۰۲
,۱۰۳
,۱۰۴
,۱۰۵
,۱۰۶
,۱۰۷
,۱۰۸
,۱۰۹
,۱۱۱
,۱۱۲
,۱۱۳
,۱۱۴
,۱۱۵
,۱۱۶
,۱۱۷
,۱۱۸
,۱۱۹
,۱۲۱
,۱۲۲
,۱۲۳
,۱۲۴
,۱۲۵
,۱۲۶
,۱۲۷
,۱۲۸
,۱۲۹
,۱۳۱
,۱۳۲
,۱۳۳
,۱۳۴
,۱۳۵
,۱۳۶
,۱۳۷
,۱۳۸
,۱۳۹
,۱۴۱
,۱۴۲
,۱۴۳
,۱۴۴
,۱۴۵
,۱۴۶
,۱۴۷
,۱۴۸
,۱۴۹
,۱۵۱
,۱۵۲
,۱۵۳
,۱۵۴
,۱۵۵
,۱۵۶
,۱۵۷
,۱۵۸
,۱۵۹
,۱۶۱
,۱۶۲
,۱۶۳
,۱۶۴
,۱۶۵
,۱۶۶
,۱۶۷
,۱۶۸
,۱۶۹
,۱۷۱
,۱۷۲
,۱۷۳
,۱۷۴
,۱۷۵
,۱۷۶
,۱۷۷
,۱۷۸
,۱۷۹
,۱۸۱
,۱۸۲
,۱۸۳
,۱۸۴
,۱۸۵
,۱۸۶
,۱۸۷
,۱۸۸
,۱۸۹
,۱۹۱
,۱۹۲
,۱۹۳
,۱۹۴
,۱۹۵
,۱۹۶
,۱۹۷
,۱۹۸
,۱۹۹
,۲۰۱
,۲۰۲
,۲۰۳
,۲۰۴
,۲۰۵
,۲۰۶
,۲۰۷
,۲۰۸
,۲۰۹
,۲۱۱
,۲۱۲
,۲۱۳
,۲۱۴
,۲۱۵
,۲۱۶
,۲۱۷
,۲۱۸
,۲۱۹
,۲۲۱
,۲۲۲
,۲۲۳
,۲۲۴
,۲۲۵
,۲۲۶
,۲۲۷
,۲۲۸
,۲۲۹
,۲۳۱
,۲۳۲
,۲۳۳
,۲۳۴
,۲۳۵
,۲۳۶
,۲۳۷
,۲۳۸
,۲۳۹
,۲۴۱
,۲۴۲
,۲۴۳
,۲۴۴
,۲۴۵
,۲۴۶
,۲۴۷
,۲۴۸
,۲۴۹
,۲۵۱
,۲۵۲
,۲۵۳
,۲۵۴
,۲۵۵
,۲۵۶
,۲۵۷
,۲۵۸
,۲۵۹
,۲۶۱
,۲۶۲
,۲۶۳
,۲۶۴
,۲۶۵
,۲۶۶
,۲۶۷
,۲۶۸
,۲۶۹
,۲۷۱
,۲۷۲
,۲۷۳
,۲۷۴
,۲۷۵
,۲۷۶
,۲۷۷
,۲۷۸
,۲۷۹
,۲۸۱
,۲۸۲
,۲۸۳
,۲۸۴
,۲۸۵
,۲۸۶
,۲۸۷
,۲۸۸
,۲۸۹
,۲۹۱
,۲۹۲
,۲۹۳
,۲۹۴
,۲۹۵
,۲۹۶
,۲۹۷
,۲۹۸
,۲۹۹
,۳۰۱
,۳۰۲
,۳۰۳
,۳۰۴
,۳۰۵
,۳۰۶
,۳۰۷
,۳۰۸
,۳۰۹
,۳۱۱
,۳۱۲
,۳۱۳
,۳۱۴
,۳۱۵
,۳۱۶
,۳۱۷
,۳۱۸
,۳۱۹
,۳۲۱
,۳۲۲
,۳۲۳
,۳۲۴
,۳۲۵
,۳۲۶
,۳۲۷
,۳۲۸
,۳۲۹
,۳۳۱
,۳۳۲
,۳۳۳
,۳۳۴
,۳۳۵
,۳۳۶
,۳۳۷
,۳۳۸
,۳۳۹
,۳۴۱
,۳۴۲
,۳۴۳
,۳۴۴
,۳۴۵
,۳۴۶
,۳۴۷
,۳۴۸
,۳۴۹
,۳۵۱
,۳۵۲
,۳۵۳
,۳۵۴
,۳۵۵
,۳۵۶
,۳۵۷
,۳۵۸
,۳۵۹
,۳۶۱
,۳۶۲
,۳۶۳
,۳۶۴
,۳۶۵
,۳۶۶
,۳۶۷
,۳۶۸
,۳۶۹
,۳۷۱
,۳۷۲
,۳۷۳
,۳۷۴
,۳۷۵
,۳۷۶
,۳۷۷
,۳۷۸
,۳۷۹
,۳۸۱
,۳۸۲
,۳۸۳
,۳۸۴
,۳۸۵
,۳۸۶
,۳۸۷
,۳۸۸
,۳۸۹
,۳۹۳
,۳۹۴
,۳۹۵
,۳۹۶
,۳۹۷
,۳۹۸
,۳۹۹
,۴۰۳
,۴۰۴
,۴۰۵
,۴۰۶
,۴۰۷
,۴۰۸
,۴۰۹
,۴۱۳
,۴۱۴
,۴۱۵
,۴۱۶
,۴۱۷
,۴۱۸
,۴۱۹
,۴۲۳
,۴۲۴
,۴۲۵
,۴۲۶
,۴۲۷
,۴۲۸
,۴۲۹
,۴۳۳
,۴۳۴
,۴۳۵
,۴۳۶
,۴۳۷
,۴۳۸
,۴۳۹
,۴۴۳
,۴۴۴
,۴۴۵
,۴۴۶
,۴۴۷
,۴۴۸
,۴۴۹
,۴۵۳
,۴۵۴
,۴۵۵
,۴۵۶
,۴۵۷
,۴۵۸
,۴۵۹
,۴۶۳
,۴۶۴
,۴۶۵
,۴۶۶
,۴۶۷
,۴۶۸
,۴۶۹
,۴۷۴
,۴۷۵
,۴۷۶
,۴۷۷
,۴۷۸
,۴۷۹
,۴۸۴
,۴۸۵
,۴۸۶
,۴۸۷
,۴۸۸
,۴۸۹
,۴۹۴
,۴۹۵
,۴۹۶
,۴۹۷
,۴۹۸
,۴۹۹
,۵۰۴
,۵۰۵
,۵۰۶
,۵۰۷
,۵۰۸
,۵۰۹
,۵۱۴
,۵۱۵
,۵۱۶
,۵۱۷
,۵۱۸
,۵۱۹
,۵۲۴
,۵۲۶
,۵۲۷
,۵۲۹
,۵۳۴
,۵۳۶
,۵۳۷
,۵۳۹
,۵۴۴
,۵۴۶
,۵۴۷
,۵۴۹
,۵۵۴
,۵۵۶
,۵۵۷
,۵۵۹
,۵۶۴
,۵۶۶
,۵۶۷
,۵۶۹
,۵۷۴
,۵۷۶
,۵۷۷
,۵۷۹
,۵۸۴
,۵۸۶
,۵۸۷
,۵۸۹
,۵۹۴
,۵۹۶
,۵۹۷
,۶۰۴
,۶۰۶
,۶۰۷
,۶۱۴
,۶۱۷
,۶۲۴
,۶۲۷
آژانس‌های هواپیمایی,خیابان استاد نجات‌اللهی
چرم و وسایل چرمی,خیابان فردوسی، میدان فردوسی
پارچه رومبلی,بازار مبل یافت‌آباد
پارچه و قماش,خیابان مولوی
پرده پارچه‌ای,خیابان مولوی
پزشکی و دندانپزشکی,خیابان آزادی، نرسیده به میدان انقلاب
پارکت، لوردرایه,خیابان سهروردی شمالی
بغل‌نویسی خودرو,میدان شوش
پارچه‌های کت و شلواری,خیابان کارگر، چهارراه لشکر
آرایشی و بهداشتی,کوچه مروی، بازار
دوربین‌های عکاسی و فیلم‌برداری,میدان امام خمینی
عتیقه و زیرخاکی، نقره‌جات,چهارراه استانبول
عینک,خیابان فلسطین
کتاب‌های نفیس و هدیه‌ای,خیابان کریمخان زند
کابینت چوبی و فلزی,خیابان سهروردی شمالی
کفش مردانه,خیابان سعدی، میدان مخبرالدوله
گل و گلدان,بزرگراه محلاتی
لوازم عروس و داماد,بازار بزرگ، سبزه میدان
بلندگو و استریو,خیابان جمهوری، سه‌راه جمهوری
تزئینات اتاق عقد و عروسی,لاله‌زار، میدان مخبرالدوله
تلفن ثابت و سانترال,میدان امام خمینی
جواهر، طلا و ساعت,خیابان کریمخان زند
ابزار و یراق، دریل مته و…,میدان حسن‌آباد
الکتریکی و برق خانگی-صنعتی,خیابان‌های لاله‌زار و لاله‌زار نو
آشپزخانه‌های صنعتی و اداری,خیابان مصطفی خمینی
آزمایشگاهی و پزشکی,خیابان ولی‌عصر، چهارراه جمهوری
ارتوپدی و ورزشی,میدان منیریه
آکواریوم,خیابان جمهوری، چهارراه استانبول، ساختمان پلاسکو
قفسه‌های چوبی، فلزی، مصنوعات فلزی,میدان حسن‌آباد
چاپگرها، لوازم کارتریج و ماشین‌حساب,خیابان ایرانشهر
چرخ خیاطی و گلدوزی,خیابان خیام، نرسیده به میدان محمدیه
چینی‌آلات بهداشتی، کاشی و سرامیک,خیابان ملاصدرا
چینی‌آلات، کریستال، بلورجات و ظروف,میدان شوش
بنکداری‌های غذایی,خیابان مولوی
انواع لوستر و آباژور,لاله‌زار و لاله‌زار نو
لباس بچه‌گانه,خیابان بهار شمالی
لوازم ورزشی (غیر برقی),میدان منیریه
لوازم ورزشی و پزشکی (برقی و مکانیکی),خیابان ولی‌عصر، چهارراه جمهوری
سیسمونی نوزاد,خیابان جمهوری، چهارراه جمهوری
انواع پمپ آب و تجهیزات آبرسانی,سعدی جنوبی
انواع لوله و اتصالات,خیابان ملاصدرا
کاغذ و مقوا,خیابان ظهیرالاسلام
کارت عروسی، عقد و عزا,خیابان جمهوری، حدفاصل مخبرالدوله تا بهارستان
روکش و تزئینات خودرو، پخش انواع رینگ,خیابان خلیل حسینی (سورنا)
انواع سماورهای تزئینی,میدان بهارستان
لوازم موسیقی و سازها,خیابان لارستان
کیف و کفش زنانه و بچه‌گانه,باغ سپهسالار، خیابان جمهوری
لوازم دست دوم اتومبیل و اوراق,میدان شوش
خودروهای باری و کفی,اسلامشهر، شرکت کامیون‌داران
لاستیک,خیابان امیرکبیر
انواع چادر و برزنت,میدان سپاه
لوازم خانگی، صوتی و تصویری,خیابان جمهوری، حدفاصل میدان جمهوری تا سه‌راه جمهوری
لوازم لودر و ماشین‌آلات صنعتی، تراشکاری و ریخته‌گری,میدان قزوین تا سه‌راه آذری
شوفاژ، پکیج و یونیت,خیابان طالقانی، حدفاصل مفتح جنوبی تا سه‌راه طالقانی
لوازم یدکی خودرو,خیابان سعدی
انواع سموم حیوانی و نباتات,خیابان ناصرخسرو
موتورسیکلت، دوچرخه و لوازم یدکی آن,میدان رازی (گمرک)
البسه نظامی و پوشاک اسپورت جوانان,میدان رازی (گمرک)
سمساری‌ها,میدان امام حسین
انواع برنج,خیابان پامنار
انواع عایق، یونولیت و سقف کاذب,خیابان ۱۵ خرداد، خیابان پامنار
لوازم حمام و دستشویی,ملاصدرا
لوازم ساختمانی,خیابان ۱۵ خرداد
انواع لوح یادبود و پلاک,خیابان انقلاب، میدان فردوسی
انواع عطر و ادکلن,خیابان خالد اسلامبولی (وزرا)
لوازم شکار و ماهیگیری,خیابان فردوسی، روبروی شعبه مرکزی بانک ملی
شبرنگ، برچسب و لیبل,خیابان فردوسی، روبروی شعبه مرکزی بانک ملی
انواع ریش‌تراش برقی و اپیلاسیون,خیابان منوچهری
لوازم‌التحریر,بازار بین الحرمین
انگشتر نقره و سنگ‌های قیمتی,گور نوروزخان
کیف مدارس و مسافرتی,خیابان منوچهری
رایانه و لوازم جانبی آن,میرداماد، مرکز کامپیوتر پایتخت
لوازم مرغداری و ماکیان,خیابان آزادی
بنگاه‌های شادمانی و حجله,خیابان مجاهدین اسلام، تا قبل از میدان شهدا
فرش ماشینی و موکت,میدان هفت تیر
فرش دستباف، گلیم و حاجیم,خیابان خیام، سرای فرش فروش‌ها
صراف‌ها و سکه‌فروشان,خیابان ستارخان
انواع کتونی‌های خارجی,چهارراه استانبول، ساختمان پلاسکو
تعمیرات انواع وسایل خانه,خیابان جمهوری، ساختمان آلومینیوم
چوب و الوار,خیابان انقلاب، پل چوبی
تایپ، تکثیر و ترجمه,خیابان انقلاب، روبروی دانشگاه
لوازم قنادی و سفره آرایی,خیابان ۱۵ خرداد، چهارراه سیروس
خرما,خیابان مولوی، خیابان تختی
